,elbow-l,elbow-r,knee-l,knee-r,kneck-l,kneck-r,leg-l,leg-r,back,Pose
267,64.62225613865084,-15.389263651686552,-62.10190913446927,49.76364169072618,-34.734859539786285,-34.734859539786285,-81.80571302220586,139.7636416907262,27.224987482278763,halfMoon
268,-11.1130405359483,17.03776779562564,-18.03428556712986,1000.0,63.05968075473175,-50.53490275499693,18.03428556712986,1000.0,4.010966772362268,halfMoon
269,-1.8279051514255398,-25.06877651406134,62.99475299580718,-51.513938671715806,56.70643672915333,56.70643672915333,-32.31430575870894,41.82845533753287,-6.986599445104869,halfMoon
270,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
271,1000.0,52.97761893634344,1000.0,1000.0,-20.80080325683629,84.02567671351937,1000.0,1000.0,36.68837085439556,halfMoon
272,177.67989297853097,23.403938813610914,2.146367043160396,-72.95408822918647,-57.13383808956035,169.1983817643093,4.9153428871579905,17.98315361978635,60.763432941387286,halfMoon
273,1000.0,12.625836878907307,169.10717039892234,78.28256529679662,106.58733855692742,36.81219798809549,-52.812380328338485,-41.737592973974074,0.4821964727785522,halfMoon
274,0.0,-2.7707952858321883,165.32360686254998,-0.7102942841975888,90.0,-62.35402463626132,63.93022957356921,-4.75080921135151,23.304890539203114,halfMoon
275,24.494028975548428,-3.3695749029915283,0.0,1.9027733857486362,65.55604521958347,-64.88516511385544,69.22774531795417,-6.283933846065521,-8.686354581236653,halfMoon
276,-57.95696113527895,13.448615051686517,1000.0,1000.0,97.01650174472292,71.45653657289911,1000.0,1000.0,7.01650174472291,halfMoon
277,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,halfMoon
278,12.449996507806603,0.0,4.436159691554947,-30.779489715602523,73.30075576600638,73.30075576600638,-24.619154612043022,66.95651645275764,-7.641356105375965,halfMoon
279,1000.0,-18.788621982168472,1000.0,1000.0,-28.88658176691071,-28.88658176691071,1000.0,-15.751173663453027,20.298334358207708,halfMoon
280,13.7490489834193,11.029531223980484,6.220949921159601,12.557556216278883,123.87853980510965,123.87853980510965,-59.15650029124843,-68.67901641116923,3.201259783313201,halfMoon
281,-44.276562327678036,145.4516329439887,1000.0,1000.0,43.49746368933724,-59.55673145715127,1000.0,1000.0,-4.1050985131625755,halfMoon
282,19.571620700520796,-0.22079189172358304,0.0,59.905758523554994,56.668774000368956,-75.60491500572479,-15.42216131873867,98.47114463301483,-6.766174822553061,halfMoon
283,165.14138555207535,-33.55786368019618,133.55587446906415,159.50265945199817,47.563770211465005,-80.3112134396332,68.96248897457818,-63.299211550306346,-16.051921795866036,halfMoon
